Wavelength (nm),Normalized Spectral Power
432.13213213213214,0.9447104535506424
432.93293293293294,0.9460716616158327
433.73373373373374,0.9474139577162988
434.53453453453454,0.9487374030121992
435.33533533533534,0.9500420594134227
436.13613613613614,0.9513279895627303
436.93693693693695,0.9525952568190842
437.73773773773775,0.9538439252411334
438.53853853853855,0.9550740595708928
439.33933933933935,0.9562857252175835
440.14014014014015,0.9574789882416542
440.94094094094095,0.9586539153389713
441.74174174174175,0.9598105738251894
442.54254254254255,0.9609490316202854
443.34334334334335,0.9620693572332759
444.14414414414415,0.9631716197470912
444.94494494494495,0.9642558888036422
445.74574574574575,0.9653222345890353
446.54654654654655,0.9663707278189739
447.34734734734735,0.9674014397243214
448.14814814814815,0.968414442036837
448.94894894894895,0.9694098069750737
449.74974974974975,0.9703876072304546
